,Job Title,Companies,Location,Date posted,Other information,Job Description,Pay_lower_bound,Pay_upper_bound,Qualifications,Position,Position Level
400,Research Fellow (Disaster Risk Reduction) (R00001553),Nanyang Technological University,Singapore,,"Senior Executive Doctorate (PhD) 1 year Full-Time Engineering, Environmental, Computer/Information Technology, IT-Software 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts)","The Disaster Analytics for Society Lab at Asian School of the Environment,Nanyang Technological University (NTU) in Singapore is looking for an exceptional candidate for a postdoctoral position in the field of disaster risk reduction. The lab aims to rapidly deploy and produce valuable, actionable research in pre- and post-disaster contexts in Southeast Asia to inform both risk reduction and recovery efforts. The ideal candidate will combine strong technical expertise with a passion for humanitarian and disaster-related research.Duties and ResponsibilitiesConceive, design, prototype and implement solutions to collect and analyze complex data on natural hazards and their impacts on societySupport in planning, coordinating and execution of field activities for the Disaster Analytics for Society Lab (DASL), leading to the successful execution and coordination of disaster-related fieldworkSupport the development of the spatial analysis lab (hardware, software and capacity-building)Conduct spatial analysis work in support of various research projects on disaster risk and recoveryWilling to travel frequently, occasionally for extended periods (up to 2-3 weeks)RequirementsPhD degree in quantitative earth or environmental system sciences, civil / environmental engineering, computer science or related fieldsSelf-driven, highly motivated, collaborative, with interest to work with other researchers and scientists (team player) to produce high-quality and impactful researchExperience with field researchExperience working with spatial dataDemonstrated ability to publish high-quality researchInterest in the field of natural hazards and reducing their impacts on societyExcellent oral and written communication skills in EnglishInterested applicants are invited to submit a full CV, work samples and names and contact details of two referees.We regret only shortlisted candidates will be notified.",2800.0,5000.0,Doctorate (PhD),Senior Executive,Full-Time
401,Senior Executive / Executive (Data Management) - 8776BR,National Cancer Centre Singapore Pte Ltd,Outram,2021-09-03,"Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 2 years Contract Computer/Information Technology, IT-Network/Sys/DB Admin 199801562Z 501 - 1000 Employees 24 days Healthcare / Medical Dental, Medical, Flexi- benefits, uniform and non-uniform, Regular Hours - Mondays to Fridays and Saturdays (half day)","You will be the appointed Trusted Third Party to de-identify data and samples for National Cancer Centre Singapore (NCCS). You will also be the approver for re-identification and retrieval of data and samples.Your duties will include:Lead the development or adoption of standard operating procedures for data management by working closely with internal and external stakeholders (e.g. SingHealth institutions and IHiS)Develop a centralized database using REDCap and maintain NCCS research databasePerform de-identification and identification in accordance with SingHealth policies and national lawsAct as liaison with SingHealth Office of Research Integrity &amp; Compliance and Office of DGCMIO (Research), and implement SingHealth cluster-level policies in NCCSAssist in implementation and management of relevant projectsJob RequirementsDegree holder in Health Sciences / Nursing / Public Health or related fieldMinimum 2 years of experience in clinical or clinical operations role, preferably in data-science / healthcare administration / informatics / innovation / project managementProven project management and stakeholder management skillsPossess excellent written, communicationand interpersonal skillsResourceful individual who works well independently and is creative in problem solvingMeticulous, organized and able to handle multiple projectsProficient in Microsoft Office and R ProgrammingAn interest and aptitude for Python, SPSS and SQL would be an advantage",2800.0,5000.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Junior Executive,Contract
402,Bioinformatician,Institute of Molecular and Cell Biology (A*STAR),Singapore,2021-09-09,"Senior Manager Bachelor's Degree, Master's Degree, Doctorate (PhD) 1 year Full-Time, Contract Sciences, Science & Technology 52987879L 201 - 500 Employees R&D Regular hours, Mondays - Fridays, Casual (e.g. T-shirts) Singapore","A bioinformatician position (PhD) is available at the A*STAR IMCB ???Laboratory of Chromatin Dynamics &amp; Disease Epigenetics.
Our laboratory is interested to study chromatin dynamics in development and disease, with a particular focus on cancer (Hu et al., Nature Cell Biology 2020). To this end, we leverage next-generation sequencing technologies to investigate how transcriptional and epigenetic dysregulations lead to carcinogenesis. Through integrative analyses of cancer epigenomic, genomic and transcriptomic data, we aim to obtain a comprehensive understanding of the complex architecture of cancer genomes, and to identify potential cancer vulnerabilities for therapeutic intervention. For more information about the lab, please see: https://wwteelab.com
Job Requirements
We are looking for a candidate with some experience working with next generation sequencing datasets such as RNA-seq, scRNA-seq, ChIP-seq, ATAC-seq, Methyl-Seq as well as Hi-C/Hi-ChIP.
?? Bachelor???s/Master???s/PhD degree in Bioinformatics, Computational Biology, Data Science, or a related field. 
?? Proficiency in R and/or Python scripting language. 
?? Prior experience with next-generation-sequencing data analysis such as those listed above, and able to perform multi-modal integration of the different -omics datasets. 
?? Track record of peer-reviewed publications in relevant disciplines will be advantageous. 
?? Excellent written and verbal communication skills. 
?? Able to undertake independent research and be an effective team player. 
An attractive remuneration package that is commensurate with the qualifications, track record and working experience of the successful candidate will be provided. The successful candidate will also have the opportunity to lead projects and work collaboratively with others in conceptualizing and conducting research projects.
Interested applicants should email his/her curriculum vitae, a cover letter addressing research interest, experience and skills, and contact information of three referees toDr. Wee-Wei Tee([emailprotected]).",,,"Bachelor's Degree , Master's Degree , Doctorate (PhD)","Manager , Senior Manager","Full-Time , Contract"
403,Machine Learning Engineer,Spring Professional (Singapore) Pte Ltd,Singapore,2021-09-07,"Junior Executive Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Full-Time Computer/Information Technology, IT-Software, Engineering, Other Engineering 199703060N 09C5803 51 - 200 Employees 30 days Human Resources Management / Consulting","One of the largest and fastest growing IOT companies is looking to hire a tech lead manager to oversee their new mobile and Engineering teams.This is your opportunity to work with one of the largest IOT companies on the market right now.ResponsibilitiesBuild industry leading recommendation system for customers;Understand machine learning techniques and business objectives, own end-to-end recommendation system and responsible for performance, improve recommendation models and strategies;Conduct cutting-edge research in machine learning algorithms, and apply the technology to different business scenarios.Work with cross functional teams to grow Enterprise Partnership &amp; Solutions business.Preferred QualificationsExperience in one or more of the following areas: machine learning, recommendation systems, data mining or other related areas;Solid programming skills, good programming styles and working habitsAble to solve problems independently, good teamwork and communication skills;Passion for technologies and solving challenging problems. Preferred qualifications 1. Experience in large-scale recommendation systemsInterested to Apply?If you are keen to hear more about this role, please send your updated word format resume by clicking ''Apply Now''.Spring EA License: 09C5803EA Registration ID: R2197201Reference Number: JN -082021-67340",,,"Professional Certificate , Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree",Junior Executive,Full-Time
404,Research Officer (Dry Lab) SIFBI,Singapore Institute of Food and Biotechnology Innovation (A*STAR),Singapore,2021-09-08,"Senior Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Full-Time, Contract Sciences, Science & Technology 53407839k 51 - 200 Employees 30 days Government / Defence Regular hours, Mondays - Fridays, Casual (e.g. T-shirts) Singapore","Develop and conduct online survey and data collection studies, analyse collected data and draw inference from the data, use the data to prepare research publications and new funding proposals, project manage consumer studies related to food and CP consumption and use.
Expertise ??? experience developing and running consumer surveys and online data collection platforms.
Job Requirements: 
- A degree in science or related fields. 

Job Requirements: 
- A degree in science or related fields. ",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree","Manager , Senior Manager","Full-Time , Contract"
405,Research Fellow (Computer Vision and Artificial Intelligence) (R00006863),Nanyang Technological University,Singapore,,"Manager Professional Certificate/NiTEC 3 years Full-Time Sciences, Science & Technology 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","A Research Fellow position is available in the School of Electrical &amp; Electronic Engineering.Job ResponsibilitiesWork on a project to research and develop visual sensing, detection and analytics algorithmsDevelopment of artificial intelligence (AI) technologies to perform person and object detection, classification, and analysisSystem integration of the developed algorithmsLeading a research team in project developmentMentoring studentsProject proposal development and writingReport preparation and writingJob RequirementsPhD degree in Computer Science, Electrical and Electronic Engineering or related field from reputable universitiesMinimum 3-year research experience in related areaStrong knowledge and experience in computer vision, artificial intelligence, pattern recognitionProficiency in programming languages such as C and PythonProficiency in deep learning frameworks such as Pytorch and TensorflowProficiency in both spoken and written EnglishStrong publication recordsAbility to work independently and as a teamWe regret only shortlisted candidates will be notified.",,,"Professional Certificate , NiTEC ",Manager,Full-Time
406,"VP, Senior Quantitative Analyst, Group Market Making, Global Markets",United Overseas Bank Limited (UOB),Singapore,,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD) 5 years Full-Time Accounting/Finance, Banking/Financial, Sciences, Actuarial/Statistics 193500026Z More than 5000 Employees 30 days Banking / Financial Services Dental, Education support, Miscellaneous allowance, Medical, Loans, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","About UOBUnited Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.About the DepartmentThe Global Market function leverages our in-depth knowledge of markets to provide timely financial advice, products and solutions to our clients. Together with our segment managers, we manage our clients' investment, liability and risk management needs through a comprehensive suite of treasury products and services across multiple asset classes.Job ResponsibilitiesThe Quantitative Analytics team is responsible for pricing and risk management models used across UOB Global Markets. This role offers the opportunity to work closely with trading desks to develop and integrate solutions into the daily trading activities. This work is done in collaboration with the Risk and IT departments. Responsibilities:Build and maintain independent pricing engines and toolkits for Global Markets across multiple asset classes (IR / FX / Commodities / Equities)Implement new exotic models and payoffs for all asset classesBuild and implement risk management tools in collaboration with tradersParticipating in testing of implementations and back testing of effectiveness of our modelsJob RequirementsMasters or Doctoral degree in a STEM (Science, Technology, Engineering and Mathematics) subjectOver 5 years of quantitative related experience with minimum of 3 years in a front office Quant Analytic environmentStrong mathematical background, preferably in numerical methods, stochastic calculus and probabilityProficiency in C++ necessary, proficiency in Python desirableExperience in modelling exotic/structured productsAble to communicate effectively to deliver solutions quicklyBe a part of UOB FamilyUOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.Apply now and make a difference.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree , Doctorate (PhD)",Senior Executive,Full-Time
407,"#PublicService Data Analyst (Manager/Assistant Manager), National Marketing",Ministry of Communications & Information (MCI),Singapore,2021-09-03,"Manager Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 5 years Full-Time, Contract Sales/Marketing, Marketing/Business Dev T08GA0017L 201 - 500 Employees Government / Defence","#PublicServiceData Analyst (Manager/Assistant Manager), National Marketing OfficeThe National Marketing Office (NMO) in MCI facilitates marcom coordination across the whole of government, in areas such as campaign timing, messaging, and platforms so as to ensure marcom effectiveness and cost efficiencies across WoG.As the Data Analyst, National Marketing Office, you will facilitate the acquiring of datasets and develop data analytics solutions for management to derive marcoms insights for effective government communications and to help management to make informed decisions.ResponsibilitiesAssist in managing the design, development and implementation of an overarching business intelligence (BI) / data analytics solution with dashboards, analytics and reports to help NMO leverage internal and external data assets to create marcom insights for effective govt communications and to facilitate strategic decision making.Engage stakeholders to understand business requirements and translate these requirements into functional requirements for analytics solutions/platforms/systems.Facilitate the acquiring of data from multiple sources and ensure the developed solution is aligned with organisation’s business needs.Perform data cleaning and pre-processing that facilitate meaningful analysis.Support the development of a WOG marketing planning toolRequirementsBackground in Marketing, Computer Science, Information Technology/ System, or related discipline would be advantageousMinimally 5 years of relevant working experienceStrong understanding of database concepts and toolsGood knowledge with analytics tools and business intelligence/visualisation toolsGood analytical and problem-solving skillsGood written communication and presentation skillsGood interpersonal skills and the ability to interact positively and professionally at all levelsFor more information on careers in MCI, please access the following link:http://www.mci.gov.sg/careers-grants/job-vacanciesPlease note that only shortlisted candidates will be notified.",,,"Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Manager,"Full-Time , Contract"
408,Research Analyst [#SGUnitedTraineeships] [#SGUP] (R00006943),Nanyang Technological University,West,,"Entry Level Bachelor's Degree, Post Graduate Diploma, Professional Degree Full-Time Education/Training, Education 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts)","Research Analyst, Developmental Psychology [#SGUnitedTraineeships] [#SGUP] (R00006943)Programme SummaryWith the release of Enhanced SGUnited Programmes announced by Workforce Singapore (WSG) in conjuncture with Singapore Business Federation, NTU offer attachments and traineeships to support the SGUnited Mid-Career Pathways Programme (SGUP) and SGUnited Traineeships (SGUT). The programmes are part of NTU’s effort to create relevant and meaningful opportunities for our nation’s mid-career individuals and fresh graduates looking for full-time positions.About the SchoolSchool of Social Sciences (SSS) has nearly 100 faculty members and more than 1,700 undergraduates who major in the four degree programmes the School offers: Economics, Psychology, Public Policy and Global Affairs, and Sociology. There are more than 180 graduate students in our PhD and MA programmes (by research), and MSc programmes in Applied Economics and Gerontology.The School’s holistic and rigorous education aims to prepare our students with analytical and critical capacities that can be applied in the classroom and future careers. Apart from being deeply engaged in their disciplinary pursuits, our faculty members are also at the forefront of cutting-edge research between the social sciences and other disciplines. We firmly believe that cross-fertilisation of disciplinary knowledge will contribute to global scholarship and help tackle complex challenges facing the world in the 21st century.Job DescriptionCoordinating day to day research activities (e.g. recruitment and scheduling of participants, conducting research sessions at schools and after school care)Data processing (e.g. data entry and coding)Assistance with administrative duties (e.g. grant administration and accounting, proof-reading, etc)Create and update information within the lab team, and within divisionConduct literature review and searches; field surveys; site visit and experimentationPrepare sections of surveys, experiments, analysis plans, manuscripts, reports and grant proposalsAssist in conducting surveys; preparing sections of surveys and data analysisProgram and set up online subject recruitment and experimental test infrastructure with documentation of best practice and standard operating proceduresAssist in the writing of a book manuscriptReview research papersReview; summarize study information; data organisation and storageAssist with recruitment and laboratory booking; screening of participants; laboratory set up and data collectionPerforming other related duties assigned in support of the research projects, accounting and proof-reading, etcRequirementsBachelor’s degree in Psychology, Education, or relevant fieldBasic understanding of research and analytical skillsExcellent verbal and written EnglishAttention to details and proceduresEffective communication and report writing skillsPrior experience working with childrenCandidates who have contacts with primary schools, secondary schools, afterschool care are preferredDuration of Traineeship/Attachment Offered: 6 monthsApproved Training AllowanceEntry level- $2500Non-Mature Mid-Career Individuals - $3000Mature Mid-Career Individuals - $3800This position is open for both recent graduates and mid-career individuals (mature and non-mature). Graduates interested in this position should possess a University Degree. Mid-career individuals from any qualification level can apply.Hiring Institution: NTU",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,Full-Time
409,Principle Medical Statistician (Healthcare/Office hour) (ID: 512696),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central,,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD) 8 years Full-Time Sciences, Science & Technology 200701282M 01C4394 51 - 200 Employees 27 days Human Resources Management / Consulting","Job Responsibilities:• Oversee the provision of statistical and analytical support to the researchers• Ensure proper methods are applied by the team members with regards to the analysis of the data• Review of the report write up, proposals, grant application• Lead a team of statisticianJob Requirements:• Degree/Master/PHD in Statistic, Maths, Biomedical Science• Familiar with SPSS and STATA, or any other statistical software• Interested in research work• At least 8 years of relevant experienceInterested candidates who wish to apply for the advertised position, please click on “Apply Now”. Alternatively, you may email us an updated copy of your resume (Attn: ESL) or contact our office at +65 6709 3567 for a confidential discussion. We regret that only shortlisted candidates will be notified.Job Code: ESLEmail Address: [emailprotected]EA License No.: 01C4394",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree , Doctorate (PhD)",Senior Executive,Full-Time
410,"Enterprise Analytics, Specialist - (JR-16795)",AIA SINGAPORE PRIVATE LIMITED,Singapore,2021-09-05,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree Full-Time Accounting/Finance, Banking/Financial 201106386R 501 - 1000 Employees Insurance Dental, Miscellaneous allowance, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","Bring your career aspirations to life with AIA!Responsible for changing AIA's analytics landscape and business formulas by delivering best-in-class analytics solutions to drive business growth, improve efficiencies and reduce costs.Work collaboratively with various stakeholders to develop and implement Business Intelligence dashboard solutions for enterprise wide strategic initiatives.Work with Data Science team in providing actionable insights and recommendations to drive business outcomes that are aligned with the business objectives and strategies.Build and maintain strong effective relationships with key internal and external business stakeholders to ensure that the analytics solutions meet the expectation of key business stakeholders.Develop in depth understanding of the business and having the ability to advise the business on the right analytics approach by participating in business discussions and presentations as applicable.Provide support in the sharing of best practices particularly relating to Business Intelligence dashboarding across the organisation.Help to drive analytics innovation by keeping abreast of industry's trends, evaluating and adapting new and improved Business Intelligence approaches for the business.Job RequirementsBachelor's degree holder, ideally in STEM disciplines (Science, Technology, Engineering, Math); graduate degree in Statistics, Applied Math, Data Science or other related quantitative field is preferred.Approximately 2-4 years of working experience in data analysis, development of Business Intelligence dashboards, as well as generating insights to support datadriven decision making.Experience with Business Intelligence tools (e.g. Tableau), Excel, PowerPoint.Experience using programming languages (e.g. Python, R, SQL) to manipulate data and draw insights from large data sets.Experience of working on Azure based cloud technologies and Alteryx will be highly desirable.Strong analytical skills, deductive reasoning, problem solving and critical thinking skills.Able to manipulate and analyse complex data set from multiple sources and simplify findings to solve business issues.Excellent relationship management, strong team building, and the ability to work across business units and functions to drive positive business outcomes.Project management skills and ability to manage multiple priorities.Strong sense of urgency and accountability to drive business outcomes.Passionate about working with numbers.A drive to learn and master new technologies and techniques.Build a career with us as we help our customers and the community live healthier, longer, better lives.You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Senior Executive,Full-Time
411,Senior Research Fellow (CCB/OR),National University of Singapore,Singapore,2021-09-09,"Senior Executive Doctorate (PhD) 7 years Contract Education/Training, Education 200604346E More than 5000 Employees 29 days Education Education support, Medical, Sports (e.g. Gym), Parking, Regular hours, Mondays - Fridays, Formal (e.g. Shirts + Ties), Flexi-benefits Singapore","Job DescriptionThe Rackham Lab within the Centre for Computational Biology in Duke-NUS, uses data-driven tools to find the key regulators of cell fate in order to develop novel cell therapies and disease interventions. This research project combines CRISPR tools with network biology to find novel regulators of cardiovascular disease. The project will combine both wet and dry scientists and require the development of new computational/statistical tools, with this post focused on the experimental tools and cell culture.We are looking for a dynamic Senior Research Fellow with knowledge and research skills in cell reprogramming, next-generation sequencing and CRISPR-activation to work on addressing clinically relevant problems in cardiovascular disease. The candidate will join the laboratory of Assistant Professor Owen Rackham whose team combine computational and experimental tools to study disease in a data-driven way. The post will be a short contract of ~1 year.The selected candidate will perform a variety of research activities, including but not limited to the following:Perform independent research projects and develop connections with local and international researchers for collaboration work.Write and review research papers, present research outcomes, conceptualise new ideas and develop plans for independent research which could have a considerable influence and impact on the relevant field attracting research funding.Apply qualitative and quantitative research techniques which include accurate in-depth assessment, interpretation and evaluation of research outcomes.Maintain optimal experiment progress in the laboratory or in the research work undertaken.Contribute to project management, provision of guidance to more junior researchers as well as undergraduate and graduate students, occasional educational/instructional activities.Perform other related duties incidental to the work described herein.Job RequirementsPhD in a related scientific area (Science/Life Sciences) with at least 5 years of postdoctoral experience.Experienced in performing RNAseq, ATACseq, scRNAseq and/or RiboSeq.Experience with viral transfection for overexpression, knockdown or CRISPRa/CRISPRi.Proven track record in the form of high impact publications.Demonstrated capability of research independence.Proven ability to work harmoniously in a team and to establish and maintain effective professional peer working relationships.We regret that only shortlisted candidates will be notified.More InformationLocation: Duke-NUS Medical SchoolOrganization: Duke-NUS Medical SchoolDepartment : Duke-NUS Medical SchoolEmployee Referral Eligible: N.A.Job requisition ID : 7690",,,Doctorate (PhD),Senior Executive,Contract
412,Senior Data Scientist - (2100018T),The Great Eastern Life Assurance Co Ltd,Singapore,2021-09-03,"Senior Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Accounting/Finance, Banking/Financial, Others, Others 190800011G 2001 - 5000 Employees Insurance Singapore","Job Purpose Reporting to the Lead of Data Science, this role is responsible to ensure the successful delivery of group wide data science initiatives. These initiatives typically include the application of data science models on structured, semi structured and unstructured data to derive business insights with a potential to drive business performance.The Senior Data Scientist is expected to work closely with key stakeholders and possess the relevant technical skills required to implement analytics solutions that enable the use of data as a strategic asset. The JobParticipate in the build of group wide data science capabilities, with a focus on organizing, analysing and interpreting data to uncover patterns and trends and establishing how these findings can help increase business value through making better informed decisions.Perform exploratory data analysis, build and enhance data science models to help drive business performance.Work closely with business stakeholders to drive integration and adoption of analytics insights into new and existing business processes by demonstrating the ability to communicate the business benefits provided by analytics insights.Conduct regular reviews on planned and existing Analytics initiatives and identify ways to develop integrated analytics solutions across geography and function.Support the build of contextual data marts where necessary to advance the build of analytics models.Support the build of visual dashboards primarily aimed at monitoring the outcomes of data science models.Ensure all analytics project undertaking comply with both internal and external policies, guidelines and regulations.Provide group level support to extended Analytics team based in other GE offices.Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks.Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company.Highlights any potential concerns /risks and proactively shares best risk management practices.Our RequirementsMasters or BS in Business Analytics, Computer Science, Statistics, Economics, Actuarial Science or equivalent disciplines that focuses on extensive use of data for analysis.5 to 7 years of experience participating in data science and analytics projects as an individual contributor required.Experience in insurance or financial services industry is a plus.Working level competency in SQL programming and standard MS Office applications required.Working level competency in at least one programming language such as SAS, Python and R required.Knowledge in statistical and data mining techniques: GLM, Regression, Random Forest, Boosting, Trees, Text mining, social network analysis, etc.Practical knowledge in open source libraries such as scikit-learn, numpy, TensorFlow etc. is preferred.Experience in data visualization software such as Tableau is a plus.High level of integrity, takes accountability of work and good attitude over teamwork.Takes initiative to improve current state of things and adaptable to embrace new changes.To all recruitment agencies:Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree","Manager , Senior Manager",Full-Time
413,Business Analyst (Data Science/ ETL/ BI/ Entry Level Welcome) JH,Search Index Pte Ltd,North-East,2021-09-03,"Entry Level Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree Full-Time Computer/Information Technology, IT-Software 201410806W 14C7092 R1875919 1 - 50 Employees 20 days Human Resources Management / Consulting","• Exposure to new technologies within the Data Science team• Entry level with relevant knowledge welcome to apply• Good career progression• $3,500 - $7,000 + Comprehensive BenefitsResponsibilitiesUse big data to analyse, design and develop BI solutions that provide strategic insights to improve systemImplement &amp; deploy solutions, work with the team to maintain and support data platforms.Liaise with stakeholders/ Users to understand needs and gather requirements, documentation, testing (e.g. SIT, UAT) and implementation.Identify issues, gather information from various sources, and translate essential business needs into technical specification that are used for data product design.Regular use of common data management tools, such as Informatica, SAP BODS, MS-SQL SSIS to design and develop the data modelsAbility to work with the team to support the maintenance of data platformsProvide development work using ETL tool (SAP BODS / Informatica / MS-SQL SSIS) for new projects or change requestsProvide production support on production reports, dashboards and metadataRequirementsBachelor's Degree, in Computer Science or Computer Engineering or equivalentExperience in design, develop, deploy, and maintenance of BI solutionsExperience in any of these tools/skills : Informatica, Oracle BI (OBIEE), SAP BODS, Tableau, QlikView, MS SSIS etcWilling to learn new tools and knowledge on jobExperience in Data model design skills and Project delivery adopting SDLCKnowledge in SQL skills using Oracle and SQL server databases.Interested applicants, please send your resume in Microsoft Words format to [emailprotected]We regret that only shortlisted applicants will be notified.Hon Csia FuiEA License | 14C7092EA Registration Number | R1875919",,,"Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Not indicated,Full-Time
414,Senior/ Lead Big Data Engineer - (Job Number: 210001CY),The Great Eastern Life Assurance Co Ltd,Singapore,2021-09-09,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 5 years Full-Time Computer/Information Technology, IT-Software 190800011G 2001 - 5000 Employees Insurance","Job PurposeAt Great Eastern, we are building a data platform to realize the full value of our data. We seek an experienced Big Data Engineer to join our growing Data Engineering &amp; Ops team. The right person for the job will be responsible for managing the daily operational tasks, supporting business needs, and developing best practices and efficiencies. You will be the expert in providing consultation and expertise to business users on the usage of the platform and/or its data provided and collected. This role will also be the Data Ops lead for the Singapore Financial Data Exchange (SGFindex) core team who will ensure the development and maintenance of the data solutions in line with our overall business vision and objectives.The JobPlatform OperationsEstablish internal processes, service level agreements (SLA) and performance metrics for the operations of SGFindex platform to ensure compliance with the Participation’s Agreement and industry operational requirements.Monitor and report platform performance and usage metrics (e.g. number of pulls, platform down-time etc.) for data provision and consumption to/from SGFindex. Provide regular updates to stakeholders for competitor analysis, user analytics, revenue and cost reconciliation, monitoring for compliance to industry SLA etc.Point of Contact and liaison for operational problems escalated by service consumers, internal stakeholders and/or customers using the platform.Monitor for application performance issues, exceptions and breaches to SOP and SLA, together with the technical team)Manage and coordinate activities to identify root cause and corrective and improvement action, and track issues and performance improvement action until closure in compliance with SOP and SLA set.Create and maintain documentation relating to the platform and its data, with support from IT custodian (including but not limited to user guide, functional and technical specifications, metadata, source to target data mapping, data standards and procedures)Project SupportCoordinate with SGFindex technical team, customer channel store, BDP and source system SMEs to understand the business logics of the data, conduct impact assessment and translate them into business requirement document (BRD) based on business requirements for any change requests or enhancementsAnalyze source data, provide inputs on the handling of data anomalies and provide rules for standardization across source systems to fulfil business requirementsParticipate and coordinate with internal stakeholders to define test scope and cases, exit criteria and requirements and coordinate testing efforts. Track and manage outstanding defects.Assist product manager in budget preparation and resource allocation for support any change requests.Highlight any potential concerns/risks and proactively shares best risk management practices.Any other ad-hoc duties as assigned.Our RequirementsBachelor's degree/University degree or equivalent experience.5+ years of product operations or data product management experience.Team player, who can work independently cross-functionally with multiple teams and stakeholders.Good problem-solving, analytical and strategic thinking abilities.Proactive, attention to detail, results-driven.Adaptable to fast-pace environment, self-driven and result-oriented.Prefer with Banking or Insurance industry experience.High level of integrity, takes accountability of work and good attitude over teamwork; andTakes initiative to improve current state of things and adaptable to embrace new changes.To all recruitment agencies: Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Senior Executive,Full-Time
